name,name_zh
Zimbabwe,辛巴威
Zambia,赞比亚
Yemen,也门
Vietnam,越南
Venezuela,委內瑞拉
Vatican,梵蒂冈
Vanuatu,萬那杜
Uzbekistan,乌兹别克斯坦
Uruguay,乌拉圭
Micronesia,密克罗尼西亚联邦
Marshall Is.,馬紹爾群島
N. Mariana Is.,北马里亚纳群岛
U.S. Virgin Is.,美屬維爾京群島
Guam,關島
American Samoa,美屬薩摩亞
Puerto Rico,波多黎各
United States,美国
S. Geo. and S. Sandw. Is.,南喬治亞島與南桑威奇群島
Br. Indian Ocean Ter.,英屬印度洋領地
Saint Helena,圣赫勒拿岛
Pitcairn Is.,皮特凯恩群岛
Anguilla,安圭拉
Falkland Is.,福克兰群岛
Cayman Is.,開曼群島
Bermuda,百慕大
British Virgin Is.,英屬維爾京群島
Turks and Caicos Is.,特克斯和凯科斯群岛
Montserrat,蒙塞拉特島
Jersey,澤西島
Guernsey,根西岛
Isle of Man,马恩岛
United Kingdom,英国
United Arab Emirates,阿拉伯联合酋长国
Ukraine,乌克兰
Uganda,乌干达
Turkmenistan,土库曼斯坦
Turkey,土耳其
Tunisia,突尼西亞
Trinidad and Tobago,千里達及托巴哥
Tonga,東加
Togo,多哥
Timor-Leste,东帝汶
Thailand,泰国
Tanzania,坦桑尼亚
Tajikistan,塔吉克斯坦
Taiwan,中華民國
Syria,叙利亚
Switzerland,瑞士
Sweden,瑞典
Swaziland,斯威士兰
Suriname,蘇利南
S. Sudan,南苏丹
Sudan,苏丹共和国
Sri Lanka,斯里蘭卡
Spain,西班牙
Korea,大韩民国
South Africa,南非
Somalia,索马里
Somaliland,索马里兰
Solomon Is.,索羅門群島
Slovakia,斯洛伐克
Slovenia,斯洛文尼亚
Singapore,新加坡
Sierra Leone,塞拉利昂
Seychelles,塞舌尔
Serbia,塞尔维亚
Senegal,塞内加尔
Saudi Arabia,沙特阿拉伯
São Tomé and Principe,圣多美和普林西比
San Marino,圣马力诺
Samoa,萨摩亚
St. Vin. and Gren.,圣文森特和格林纳丁斯
Saint Lucia,圣卢西亚
St. Kitts and Nevis,聖克里斯多福與尼維斯
Rwanda,卢旺达
Russia,俄罗斯
Romania,羅馬尼亞
Qatar,卡塔尔
Portugal,葡萄牙
Poland,波兰
Philippines,菲律宾
Peru,秘鲁
Paraguay,巴拉圭
Papua New Guinea,巴布亚新几内亚
Panama,巴拿马
Palau,帛琉
Pakistan,巴基斯坦
Oman,阿曼
Norway,挪威
Dem. Rep. Korea,朝鲜民主主义人民共和国
Nigeria,奈及利亞
Niger,尼日尔
Nicaragua,尼加拉瓜
New Zealand,新西兰
Niue,紐埃
Cook Is.,库克群岛
Netherlands,荷蘭
Aruba,阿魯巴
Curaçao,库拉索
Nepal,尼泊尔
Nauru,諾魯
Namibia,纳米比亚
Mozambique,莫桑比克
Morocco,摩洛哥
W. Sahara,西撒哈拉
Montenegro,蒙特內哥羅
Mongolia,蒙古国
Moldova,摩尔多瓦
Monaco,摩纳哥
Mexico,墨西哥
Mauritius,毛里求斯
Mauritania,毛里塔尼亚
Malta,马耳他
Mali,马里共和国
Maldives,马尔代夫
Malaysia,马来西亚
Malawi,马拉维
Madagascar,马达加斯加
Macedonia,馬其頓共和國
Luxembourg,卢森堡
Lithuania,立陶宛
Liechtenstein,列支敦斯登
Libya,利比亚
Liberia,利比里亚
Lesotho,莱索托
Lebanon,黎巴嫩
Latvia,拉脫維亞
Lao PDR,老挝
Kyrgyzstan,吉尔吉斯斯坦
Kuwait,科威特
Kosovo,科索沃
Kiribati,吉里巴斯
Kenya,肯尼亚
Kazakhstan,哈萨克斯坦
Jordan,约旦
Japan,日本
Jamaica,牙买加
Italy,意大利
Israel,以色列
Palestine,巴勒斯坦
Ireland,爱尔兰共和国
Iraq,伊拉克
Iran,伊朗
Indonesia,印度尼西亚
India,印度
Iceland,冰岛
Hungary,匈牙利
Honduras,洪都拉斯
Haiti,海地
Guyana,圭亚那
Guinea-Bissau,幾內亞比索
Guinea,几内亚
Guatemala,危地马拉
Grenada,格林纳达
Greece,希腊
Ghana,迦納
Germany,德国
Georgia,格鲁吉亚
Gambia,冈比亚
Gabon,加蓬
France,法国
St. Pierre and Miquelon,圣皮埃尔和密克隆群岛
Wallis and Futuna Is.,瓦利斯和富圖納
St-Martin,法屬聖馬丁
St-Barthélemy,聖巴泰勒米島
Fr. Polynesia,法屬玻里尼西亞
New Caledonia,新喀里多尼亞
Fr. S. Antarctic Lands,法属南部领地
Aland,奥兰群岛
Finland,芬兰
Fiji,斐濟
Ethiopia,埃塞俄比亚
Estonia,爱沙尼亚
Eritrea,厄立特里亚
Eq. Guinea,赤道几内亚
El Salvador,萨尔瓦多
Egypt,埃及
Ecuador,厄瓜多尔
Dominican Rep.,多明尼加
Dominica,多米尼克
Djibouti,吉布提
Greenland,格陵兰
Faeroe Is.,法罗群岛
Denmark,丹麦
Czech Rep.,捷克
N. Cyprus,北賽普勒斯土耳其共和國
Cyprus,賽普勒斯
Cuba,古巴
Croatia,克罗地亚
Côte d'Ivoire,科特迪瓦
Costa Rica,哥斯达黎加
Dem. Rep. Congo,刚果民主共和国
Congo,刚果共和国
Comoros,葛摩
Colombia,哥伦比亚
China,中华人民共和国
Macao,澳門
Hong Kong,香港
Chile,智利
Chad,乍得
Central African Rep.,中非共和國
Cape Verde,佛得角
Canada,加拿大
Cameroon,喀麦隆
Cambodia,柬埔寨
Myanmar,缅甸
Burundi,蒲隆地
Burkina Faso,布吉納法索
Bulgaria,保加利亚
Brunei,文莱
Brazil,巴西
Botswana,波札那
Bosnia and Herz.,波斯尼亚和黑塞哥维那
Bolivia,玻利維亞
Bhutan,不丹
Benin,贝宁
Belize,伯利兹
Belgium,比利时
Belarus,白罗斯
Barbados,巴巴多斯
Bangladesh,孟加拉国
Bahrain,巴林
Bahamas,巴哈马
Azerbaijan,阿塞拜疆
Austria,奥地利
Australia,澳大利亚
Indian Ocean Ter.,澳屬印度洋領地
Heard I. and McDonald Is.,赫德島和麥克唐納群島
Norfolk Island,诺福克岛
Ashmore and Cartier Is.,阿什莫尔和卡捷岛
Armenia,亞美尼亞
Argentina,阿根廷
Antigua and Barb.,安提瓜和巴布达
Angola,安哥拉
Andorra,安道尔
Algeria,阿尔及利亚
Albania,阿尔巴尼亚
Afghanistan,阿富汗
Siachen Glacier,锡亚琴冰川
Antarctica,南极洲
Sint Maarten,荷屬聖馬丁
